"enjoyment","education","language","gender","age","problems","fairprice","workerid","comments","asses","speaker_cond"
2,3,"English","Male",22,"n/a","2",0,"","Yes","r1-age1-all"
2,2,"English","Female",24,"No","2.50",1,"","No","r1-age1-all"
2,3,"English","Female",25,"There were no glitches or errors that I noted while completing the experiment.","Yes",2,"","Yes","r1-age1-all"
1,2,"English","Female",19,"no","2.30",3,"This was a good HIT I got kind of confused on what I should do if it said I had a certain number of gumballs and I had more, but other than that it was a fun HIT.","Yes","r1-age1-all"
2,3,"English","Female",23,"no","2.3",4,"","Yes","r1-age1-all"
2,3,"English","Male",23,"None","Yes",5,"Would have like a some example, but I understand that was the point.","Yes","r1-age1-all"
1,2,"English","Female",19,"","5.00",6,"","Yes","r1-age1-all"
2,3,"English","Female",23,"There was no problem.","5",7,"","Yes","r1-age1-all"
2,1,"English","Female",22,"too short of timer","3",8,"","Yes","r1-age1-all"
2,4,"English","Female",24,"","",9,"","Yes","r1-age1-all"
2,2,"English","Male",25,"no","2.30",10,"","Yes","r1-age1-all"
1,3,"English","Female",24,"","2.50",11,"","Yes","r1-age1-all"
1,2,"English","Female",22,"Some words were difficult to make out. Not due to volume, but clarity.","yes",12,"","Yes","r1-age1-all"
2,1,"English","Male",20,"No","Yes",13,"","Yes","r1-age1-all"
2,2,"English","Male",24,"","1.00",14,"","Yes","r1-age1-all"
2,3,"Chinese, English","Female",22,"no","2.30",15,"","Yes","r1-age1-all"
1,2,"English","Female",20,"","$3",16,"I somewhat enjoyed the HIT, though it took me longer than 10 minutes and it started to get a little monotonous. ","Yes","r1-age1-all"
2,3,"English","Male",25,"No","3.00",17,"","No","r1-age1-all"
2,2,"English","Male",22,"","",18,"","Yes","r1-age1-all"
1,2,"English ","Female",20,"No","3",19,"","Yes","r1-age1-all"
2,3,"english","Male",25,"","yes",20,"none","Yes","r1-age1-all"
2,3,"English","Female",23,"I did the experiment and left the hit on this page for a couple minutes. I came back and it made me log in again and I had to redo the entire hit. Kinda annoying","4.50",21,"pretty good","Yes","r1-age1-all"
2,1,"English","Male",21,"a few i messed up on but overall i think i did good","2.30",22,"","Yes","r1-age1-all"
1,3,"English","Female",25,"No","3.00",23,"","Yes","r1-age1-all"
2,3,"English","Male",24,"No.  ","2.30",24,"I didn't realize until half way through that when I got all of the gumballs and it said ""you got some of the gumballs"", that this statement was actually false.","Yes","r1-age1-all"
