age,education,workerid,comments,language,problems,enjoyment,fairprice,gender,asses
49,3,0,"On the trial that drops all of the gumballs and the female says, ""you've got some of the gumballs."" I considered that it was true because even though all of the gumballs dropped, it was technically correct that ""You've got some of the gumballs."", was also true.",English,no,1,2.30,Female,Yes
61,3,1,"It became tedious after a while, and I now want to avoid gumballs completely. But it wasn't difficult, and I think it was relatively well paid.",English,"No, not this time. The first time I tried to access the HIT, I was denied ... and then you sent me a qualification. That was unusual.",1,$2,Female,Yes
50,3,2,,English,,1,$3,Male,Yes
45,4,3,This was interesting.  I'd like to know more about the purpose of it. ,English,Not that I noticed.,2,"2.30
2.30",Female,Yes
55,3,4,,English,no,2,,Female,Yes
56,3,5,,English, ,2,1.00,Female,Yes
70,3,6,"There were several times when I second-guessed myself, but the Hit was unique and very interesting. Thank you.",English,No,2,Yes,Male,No
53,3,7,good,english,no,2,2.50,Male,Yes
48,3,8,none,English,no,2,$1.00,Female,Yes
60,2,9,,English,,1,3.00,Female,Yes
49,3,10,"I was not sure what the point of this was. 
Thank you.",English,no,2,3.00,Female,Yes
45,4,11,n/a,english,no,2,2.30,Female,Yes
56,3,12,,English,No,1,2.30,Female,Yes
68,4,13,,English,"Several of the ""gumballs"" froze and despite hitting the space bar it would not take F or J and I had to keep tapping to get it to move to the next one. This may have resulted in soe incorrect answers though not by choice. Thought you should be aware in case it happens to others.",2,2.30,Female,Yes
49,3,14,,English,Lags a little,2,Yes,Female,Yes
47,3,15,,English,no,2,2.30,Male,Yes
62,4,16,,English,no,2,$2,Female,Yes
46,3,17,,English,No,2,2.00,Male,Yes
50,1,18,"I wasn't quite sure if I needed to accurate, for example when it said that I got two of the gumballs and five actually fell I answered yes because I do have two plus so extra.",English,no,2,2.00,Female,Yes
49,4,19,Much nicer than the other tasks that I have done involving a 2 keyed response. Well done!,English,No,2,2.30,Female,Yes
56,3,20,,English,no,2,yes,Female,Yes
55,2,21,Very interesting,english,none,2,yes,Female,Yes
62,4,22,,English,no,2,2.30,Female,Yes
45,2,23,"It would be helpful to leave up the text explaining which button means what on every page. with these types of tasks, it is easy to forget two seconds after being told.",English,no,-1,,Female,Yes
65,2,24,very interesting,English,no,2,2.30,Female,Yes
