education,language,age,gender,enjoyment,fairprice,asses,comments,problems,workerid
3,English,21,Female,1,1.50,Yes,,no,0
3,English,30,Male,1,2.00,Yes,,Sometimes it would cut off too early,1
3,English,29,Male,2,ok,Yes,Good,no,2
2,English,36,Female,2,1.50,No,,N/A,3
3,Spanish,23,Male,2,yes,Yes,,"No, everything work smoothly",4
3,english,29,Male,2,1.50,Yes,nice to work,no,5
3,English,50,Female,2,2,Yes,Awesome,No,6
3,English,28,Female,2,1.50,Yes,Pleasant,No,7
3,English,45,Female,1,,Yes,,no,8
2,English,43,Male,2,15,Yes,great hit!,,9
1,United States,22,Male,2,2.00,Yes,,no,10
3,English,32,Male,2,good,Yes,good,no,11
-1,,,,-1,,,,,12
2,english,24,Male,2,good,Yes,good.,"no,good",13
3,English,27,Male,0,2.00,Yes,,,14
2,english,37,Male,1,1.50,No,none,None,15
3,English,44,Female,2,1.50,Yes,"I was just confused about ""some of the gumballs."" Does this mean that even if all of them come out it counts as ""some,"" or only if some come out? If they all come out you're still getting ""some"".",no,16
0,english,52,Female,1,3,Confused,,,17
1,English,28,Male,2,Yes,Yes,I enjoyed it. Thank you!,No problems at all,18
3,English,27,Female,2,1.50,Yes,Nice one,No,19
2,English,29,Male,2,1.50,Yes,"None, than you!",No,20
3,english,30,Male,1,good,Yes,good,no,21
3,English,22,Female,1,1.50,Yes,,No,22
1,English,48,Male,2,Yes,Yes,Interesting,No,23
3,english,25,Male,1,good,Yes,good,no,24
3,english,26,Male,1,1.5,Yes,,No,25
3,English,28,Female,1,1.75,Yes,,,26
3,english,39,Female,1,1.50,Confused,none,no,27
1,English,21,Female,2,$2,Yes,,,28
2,English,37,Male,2,yes,Confused,"To the best of my understanding only when nothing comes out i hit ""G"" don't agree, and when gumballs come out ""J"" agree now i'm not ceatrain I am right. ","sometimes the picture and words were diffent, made it confusing",29
1,english,38,Male,2,1.50,Yes,,no,30
3,ENGLISH,21,Female,2,yes,Yes,I though the premise was funny. Thanks,I heard a Window's noise once when I made a choice but I have a Mac,31
3,English,52,Female,1,2.00,Yes,none,no,32
1,English,29,Male,2,Yes it was fair.,Yes,Great experiment overall. ,None. ,33
3,Chinese,28,Male,1,2,Yes,,No.,34
4,English ,40,Male,2,2.00,Yes,,none,35
2,english,29,Female,2,yes,Yes,,no,36
